"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","INDUSTRY","INDUSTRY_NAME","INDUSTRY_CODE","INDUSTRY_TYPE","INDUSTRY_TYPECODE","INDUSTRY_SORTORDER","TURNOVER_SIZEBAND","TURNOVER_SIZEBAND_NAME","TURNOVER_SIZEBAND_CODE","TURNOVER_SIZEBAND_TYPE","TURNOVER_SIZEBAND_TYPECODE","TURNOVER_SIZEBAND_SORTORDER","LEGAL_STATUS","LEGAL_STATUS_NAME","LEGAL_STATUS_CODE","LEGAL_STATUS_TYPE","LEGAL_STATUS_TYPECODE","LEGAL_STATUS_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"1245708463","Camden 015","E02000180","2011 super output areas - middle layer",297,14,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708463d146800695d0d0d20100",14,28
"2021","2021","2021","date",0,0,"1245708464","Camden 016","E02000181","2011 super output areas - middle layer",297,15,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708464d146800695d0d0d20100",15,28
"2021","2021","2021","date",0,0,"1245708465","Camden 017","E02000182","2011 super output areas - middle layer",297,16,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",5,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708465d146800695d0d0d20100",16,28
"2021","2021","2021","date",0,0,"1245708466","Camden 018","E02000183","2011 super output areas - middle layer",297,17,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708466d146800695d0d0d20100",17,28
"2021","2021","2021","date",0,0,"1245708467","Camden 019","E02000184","2011 super output areas - middle layer",297,18,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",5,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708467d146800695d0d0d20100",18,28
"2021","2021","2021","date",0,0,"1245708468","Camden 020","E02000185","2011 super output areas - middle layer",297,19,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708468d146800695d0d0d20100",19,28
"2021","2021","2021","date",0,0,"1245708469","Camden 021","E02000186","2011 super output areas - middle layer",297,20,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",5,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708469d146800695d0d0d20100",20,28
"2021","2021","2021","date",0,0,"1245708470","Camden 022","E02000187","2011 super output areas - middle layer",297,21,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",5,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708470d146800695d0d0d20100",21,28
"2021","2021","2021","date",0,0,"1245708471","Camden 023","E02000188","2011 super output areas - middle layer",297,22,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708471d146800695d0d0d20100",22,28
"2021","2021","2021","date",0,0,"1245708472","Camden 024","E02000189","2011 super output areas - middle layer",297,23,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",25,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708472d146800695d0d0d20100",23,28
"2021","2021","2021","date",0,0,"1245708473","Camden 025","E02000190","2011 super output areas - middle layer",297,24,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",20,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708473d146800695d0d0d20100",24,28
"2021","2021","2021","date",0,0,"1245708474","Camden 026","E02000191","2011 super output areas - middle layer",297,25,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",20,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708474d146800695d0d0d20100",25,28
"2021","2021","2021","date",0,0,"1245708475","Camden 027","E02000192","2011 super output areas - middle layer",297,26,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",10,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708475d146800695d0d0d20100",26,28
"2021","2021","2021","date",0,0,"1245708476","Camden 028","E02000193","2011 super output areas - middle layer",297,27,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",65,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708476d146800695d0d0d20100",27,28
